Link: https://www.facebook.com/DonaldTrump/?epa=SEARCH_BOX,,,,,
,,,,,
Source,Followers,Date,Interactions,Post Type,Link
Donald J. Trump,24463235,Thu Oct 10 2019 20:57:28 GMT+0000,236511,Facebook,https://www.facebook.com/DonaldTrump/posts/10163285713945725
Donald J. Trump,24472087,Fri Oct 11 2019 00:46:42 GMT+0000,220847,Facebook,https://www.facebook.com/DonaldTrump/posts/444328779550413
Donald J. Trump,24472087,Fri Oct 11 2019 02:51:50 GMT+0000,183311,Facebook,https://www.facebook.com/DonaldTrump/posts/10163287626775725
Donald J. Trump,24495540,Wed Oct 16 2019 22:27:42 GMT+0000,174197,Facebook,https://www.facebook.com/DonaldTrump/posts/10163321750750725
Donald J. Trump,24495540,Wed Oct 16 2019 22:32:35 GMT+0000,140214,Facebook,https://www.facebook.com/DonaldTrump/posts/10163321787980725
Donald J. Trump,24495540,Wed Oct 16 2019 22:51:24 GMT+0000,139325,Facebook,https://www.facebook.com/DonaldTrump/posts/10163321884225725
Donald J. Trump,24472087,Fri Oct 11 2019 18:27:29 GMT+0000,110654,Facebook,https://www.facebook.com/DonaldTrump/posts/10163290493125725
Donald J. Trump,24459393,Wed Oct 09 2019 22:56:00 GMT+0000,108989,Facebook,https://www.facebook.com/DonaldTrump/posts/10163280588505725
Donald J. Trump,24483318,Sun Oct 13 2019 18:02:19 GMT+0000,102856,Facebook,https://www.facebook.com/DonaldTrump/posts/10163301849840725
Donald J. Trump,24463235,Thu Oct 10 2019 01:40:05 GMT+0000,101579,Facebook,https://www.facebook.com/DonaldTrump/posts/10163281575305725
Donald J. Trump,24463235,Thu Oct 10 2019 12:29:54 GMT+0000,90063,Facebook,https://www.facebook.com/DonaldTrump/posts/10163283274935725
Donald J. Trump,24492299,Tue Oct 15 2019 20:46:01 GMT+0000,82131,Facebook,https://www.facebook.com/DonaldTrump/posts/10163313906815725
Donald J. Trump,24456603,Tue Oct 08 2019 19:06:05 GMT+0000,80872,Facebook,https://www.facebook.com/DonaldTrump/posts/10163274181185725
Donald J. Trump,24488432,Mon Oct 14 2019 19:58:45 GMT+0000,78729,Facebook,https://www.facebook.com/DonaldTrump/posts/10163308296525725
Donald J. Trump,24488432,Mon Oct 14 2019 19:14:00 GMT+0000,75664,Facebook,https://www.facebook.com/DonaldTrump/posts/10163308003350725
Donald J. Trump,24463235,Thu Oct 10 2019 23:45:00 GMT+0000,71979,Facebook,https://www.facebook.com/DonaldTrump/posts/10163285205100725
Donald J. Trump,24459393,Wed Oct 09 2019 20:38:39 GMT+0000,55946,Facebook,https://www.facebook.com/DonaldTrump/posts/10163280130750725
Donald J. Trump,24495540,Wed Oct 16 2019 21:29:38 GMT+0000,54343,Facebook,https://www.facebook.com/DonaldTrump/posts/10163321498000725
Donald J. Trump,24472087,Fri Oct 11 2019 19:56:00 GMT+0000,52058,Facebook,https://www.facebook.com/DonaldTrump/posts/10163290511225725
Donald J. Trump,24456603,Tue Oct 08 2019 20:52:12 GMT+0000,50209,Facebook,https://www.facebook.com/DonaldTrump/posts/10163274691090725
Donald J. Trump,24492299,Tue Oct 15 2019 20:10:00 GMT+0000,48748,Facebook,https://www.facebook.com/DonaldTrump/posts/10163313137685725
Donald J. Trump,24456603,Tue Oct 08 2019 02:18:56 GMT+0000,48604,Facebook,https://www.facebook.com/DonaldTrump/posts/10163270852585725
Donald J. Trump,24456603,Tue Oct 08 2019 21:21:42 GMT+0000,47578,Facebook,https://www.facebook.com/DonaldTrump/posts/10163274834120725
Donald J. Trump,24472087,Fri Oct 11 2019 22:22:00 GMT+0000,45068,Facebook,https://www.facebook.com/DonaldTrump/posts/10163290524380725
Donald J. Trump,24479306,Sat Oct 12 2019 20:16:52 GMT+0000,44305,Facebook,https://www.facebook.com/DonaldTrump/posts/10163296607060725
Donald J. Trump,24495540,Wed Oct 16 2019 16:04:35 GMT+0000,43745,Facebook,https://www.facebook.com/DonaldTrump/posts/10163318115745725
Donald J. Trump,24488432,Mon Oct 14 2019 15:28:18 GMT+0000,41989,Facebook,https://www.facebook.com/DonaldTrump/posts/10163306861065725
Donald J. Trump,24495540,Wed Oct 16 2019 21:16:00 GMT+0000,37938,Facebook,https://www.facebook.com/DonaldTrump/posts/10163321100790725
Donald J. Trump,24472087,Fri Oct 11 2019 02:24:14 GMT+0000,37702,Facebook,https://www.facebook.com/DonaldTrump/posts/10163287472335725
Donald J. Trump,24459393,Wed Oct 09 2019 18:26:06 GMT+0000,37554,Facebook,https://www.facebook.com/DonaldTrump/posts/10163279482625725
Donald J. Trump,24472087,Fri Oct 11 2019 14:50:38 GMT+0000,35025,Facebook,https://www.facebook.com/DonaldTrump/posts/10163289607745725
Donald J. Trump,24479306,Sat Oct 12 2019 04:03:36 GMT+0000,34553,Facebook,https://www.facebook.com/DonaldTrump/posts/10163293137140725
Donald J. Trump,24488432,Mon Oct 14 2019 19:40:00 GMT+0000,34546,Facebook,https://www.facebook.com/DonaldTrump/posts/10163308113870725
Donald J. Trump,24456603,Tue Oct 08 2019 16:58:38 GMT+0000,34520,Facebook,https://www.facebook.com/DonaldTrump/posts/10163273467730725
Donald J. Trump,24456603,Tue Oct 08 2019 22:35:00 GMT+0000,32972,Facebook,https://www.facebook.com/DonaldTrump/posts/10163274032005725
Donald J. Trump,24498109,Thu Oct 17 2019 20:39:07 GMT+0000,32799,Facebook,https://www.facebook.com/DonaldTrump/posts/510063973160055
Donald J. Trump,24472087,Fri Oct 11 2019 23:45:00 GMT+0000,32718,Facebook,https://www.facebook.com/DonaldTrump/posts/10163291282190725
Donald J. Trump,24492299,Tue Oct 15 2019 23:21:27 GMT+0000,31978,Facebook,https://www.facebook.com/DonaldTrump/posts/10163314661825725
Donald J. Trump,24495540,Wed Oct 16 2019 16:21:17 GMT+0000,31825,Facebook,https://www.facebook.com/DonaldTrump/posts/10163318252105725
Donald J. Trump,24459393,Wed Oct 09 2019 00:25:00 GMT+0000,31741,Facebook,https://www.facebook.com/DonaldTrump/posts/10163267107430725
Donald J. Trump,24479306,Sat Oct 12 2019 04:04:36 GMT+0000,31126,Facebook,https://www.facebook.com/DonaldTrump/posts/10163293140855725
Donald J. Trump,24498109,Thu Oct 17 2019 18:53:13 GMT+0000,30436,Facebook,https://www.facebook.com/DonaldTrump/posts/10163326589935725
Donald J. Trump,24459393,Wed Oct 09 2019 15:37:32 GMT+0000,28600,Facebook,https://www.facebook.com/DonaldTrump/posts/10163278455660725
Donald J. Trump,24495540,Wed Oct 16 2019 22:58:00 GMT+0000,27317,Facebook,https://www.facebook.com/DonaldTrump/posts/10163321368365725
Donald J. Trump,24456603,Tue Oct 08 2019 21:02:47 GMT+0000,26428,Facebook,https://www.facebook.com/DonaldTrump/posts/10163274745205725
Donald J. Trump,24453803,Mon Oct 07 2019 21:17:57 GMT+0000,24135,Facebook,https://www.facebook.com/DonaldTrump/posts/10163269465840725
Donald J. Trump,24492299,Tue Oct 15 2019 00:25:00 GMT+0000,23291,Facebook,https://www.facebook.com/DonaldTrump/posts/10163290856460725
Donald J. Trump,24459393,Wed Oct 09 2019 21:28:00 GMT+0000,22487,Facebook,https://www.facebook.com/DonaldTrump/posts/10163279353110725
Donald J. Trump,24463235,Thu Oct 10 2019 20:12:00 GMT+0000,21127,Facebook,https://www.facebook.com/DonaldTrump/posts/10163285295890725
Donald J. Trump,24459393,Wed Oct 09 2019 17:32:04 GMT+0000,19042,Facebook,https://www.facebook.com/DonaldTrump/posts/10163279169410725
Donald J. Trump,24456603,Tue Oct 08 2019 13:22:54 GMT+0000,18922,Facebook,https://www.facebook.com/DonaldTrump/posts/10163272577235725
Donald J. Trump,24492299,Tue Oct 15 2019 17:48:00 GMT+0000,18668,Facebook,https://www.facebook.com/DonaldTrump/posts/10163312828565725
Donald J. Trump,24456603,Tue Oct 08 2019 14:52:58 GMT+0000,18534,Facebook,https://www.facebook.com/DonaldTrump/posts/10163272931945725
Donald J. Trump,24492299,Tue Oct 15 2019 16:17:20 GMT+0000,18190,Facebook,https://www.facebook.com/DonaldTrump/posts/10163312645360725
Diamond And Silk,1808334,Tue Oct 08 2019 22:15:45 GMT+0000,15461,Facebook,https://www.facebook.com/DiamondandSilk/posts/1492319610917147
Donald J. Trump,24463235,Thu Oct 10 2019 16:54:21 GMT+0000,14684,Facebook,https://www.facebook.com/DonaldTrump/posts/10163284398220725
Donald J. Trump,24488432,Mon Oct 14 2019 23:22:00 GMT+0000,13115,Facebook,https://www.facebook.com/DonaldTrump/posts/10163308633565725
Donald J. Trump,24463235,Thu Oct 10 2019 17:58:35 GMT+0000,10542,Facebook,https://www.facebook.com/DonaldTrump/posts/10163284729865725
Conservative Values,422456,Thu Oct 17 2019 00:30:09 GMT+0000,9040,Facebook,https://www.facebook.com/ConsValues/posts/2596728470405932
Diamond And Silk,1808334,Tue Oct 08 2019 04:08:02 GMT+0000,7260,Facebook,https://www.facebook.com/DiamondandSilk/posts/1491600357655739
Conservative Renaissance,165084,Fri Oct 11 2019 16:29:25 GMT+0000,5847,Facebook,https://www.facebook.com/TheConservativeRenaissance/posts/498644927387950
Trump 2020,235085,Thu Oct 17 2019 02:43:25 GMT+0000,5534,Facebook,https://www.facebook.com/GodEmperorTrump2020/posts/2500258730061991
Mike Pence,1277146,Tue Oct 08 2019 02:19:22 GMT+0000,4185,Facebook,https://www.facebook.com/mikepence/posts/10157031459787862
Trump 2020,231942,Thu Oct 10 2019 22:41:12 GMT+0000,3633,Facebook,https://www.facebook.com/GodEmperorTrump2020/posts/2486989504722247
Trump 2020,235085,Thu Oct 17 2019 02:34:48 GMT+0000,3539,Facebook,https://www.facebook.com/GodEmperorTrump2020/posts/2500244486730082
Team Trump,149973,Thu Oct 10 2019 21:01:51 GMT+0000,3458,Facebook,https://www.facebook.com/officialteamtrump/posts/2434483056841237
Red Symposium,157940,Thu Oct 10 2019 22:42:07 GMT+0000,3291,Facebook,https://www.facebook.com/RedSymposium/posts/546312896104563
Conservative Renaissance,166442,Thu Oct 17 2019 02:40:49 GMT+0000,3146,Facebook,https://www.facebook.com/TheConservativeRenaissance/posts/502480633671046
幫港出聲 Silent Majority,271196,Sat Oct 12 2019 07:00:00 GMT+0000,2804,Facebook,https://www.facebook.com/silentmajorityhk/posts/2568827159873041
Trump 2020,232350,Fri Oct 11 2019 16:28:46 GMT+0000,2619,Facebook,https://www.facebook.com/GodEmperorTrump2020/posts/2488482891239575
Red Symposium,158136,Fri Oct 11 2019 16:29:12 GMT+0000,2432,Facebook,https://www.facebook.com/RedSymposium/posts/546852132717306
Minnesota Gun Rights,143452,Wed Oct 09 2019 03:22:37 GMT+0000,2313,Facebook,https://www.facebook.com/MinnesotaGunRights/posts/1390043241143550
Trump 2020,235085,Thu Oct 17 2019 02:39:15 GMT+0000,2269,Facebook,https://www.facebook.com/GodEmperorTrump2020/posts/2500251863396011
The Committee to Defend the President,885288,Fri Oct 11 2019 01:34:33 GMT+0000,2091,Facebook,https://www.facebook.com/CommitteeToDefendThePresident/posts/1373834689443463
Women for Trump,46686,Fri Oct 11 2019 13:34:18 GMT+0000,1928,Facebook,https://www.facebook.com/WomenforTrump20/posts/779014312515954
Red Symposium,158325,Sat Oct 12 2019 04:42:39 GMT+0000,1738,Facebook,https://www.facebook.com/RedSymposium/posts/547202846015568
Red Symposium,159219,Thu Oct 17 2019 02:42:55 GMT+0000,1643,Facebook,https://www.facebook.com/RedSymposium/posts/550938418975344
Trump 2020,711725,Fri Oct 11 2019 00:51:47 GMT+0000,1641,Facebook,https://www.facebook.com/ElectTrump2020/posts/1509244245891674
Team Trump,148349,Tue Oct 08 2019 20:56:45 GMT+0000,1569,Facebook,https://www.facebook.com/officialteamtrump/posts/2432789830343893
Trump 2020,232825,Sat Oct 12 2019 04:42:12 GMT+0000,1497,Facebook,https://www.facebook.com/GodEmperorTrump2020/posts/2489535921134272
Conservative Renaissance,164872,Thu Oct 10 2019 22:41:35 GMT+0000,1481,Facebook,https://www.facebook.com/TheConservativeRenaissance/posts/498123894106720
Red Symposium,159219,Thu Oct 17 2019 02:40:39 GMT+0000,1456,Facebook,https://www.facebook.com/RedSymposium/posts/550936825642170
LEXIT,137251,Thu Oct 10 2019 21:31:44 GMT+0000,1321,Facebook,https://www.facebook.com/LEXITMovement/posts/446111942923967
Red Symposium,158325,Sat Oct 12 2019 04:49:52 GMT+0000,1306,Facebook,https://www.facebook.com/RedSymposium/posts/547206006015252
Team Trump,157239,Sun Oct 13 2019 18:02:36 GMT+0000,1264,Facebook,https://www.facebook.com/officialteamtrump/posts/2437063229916553
Conservative Renaissance,165290,Sat Oct 12 2019 04:42:24 GMT+0000,1222,Facebook,https://www.facebook.com/TheConservativeRenaissance/posts/499013600684416
Sid Miller,821216,Wed Oct 16 2019 16:31:04 GMT+0000,1186,Facebook,https://www.facebook.com/MillerForTexas/posts/2648828248672663
Trump 2020,231942,Thu Oct 10 2019 01:39:22 GMT+0000,1139,Facebook,https://www.facebook.com/GodEmperorTrump2020/posts/2485202431567621
Trump 2020,232350,Fri Oct 11 2019 01:13:04 GMT+0000,1120,Facebook,https://www.facebook.com/GodEmperorTrump2020/posts/2487179324703265
Minnesota Gun Rights,143501,Fri Oct 11 2019 00:56:22 GMT+0000,1022,Facebook,https://www.facebook.com/MinnesotaGunRights/posts/1391698744311333
The Hispanic Conservative,118429,Thu Oct 10 2019 21:31:51 GMT+0000,1005,Facebook,https://www.facebook.com/thc1776/posts/451574542383641
Team Trump,155367,Sat Oct 12 2019 20:17:20 GMT+0000,1000,Facebook,https://www.facebook.com/officialteamtrump/posts/2436282093328000
Conservative Renaissance,164872,Thu Oct 10 2019 01:39:50 GMT+0000,990,Facebook,https://www.facebook.com/TheConservativeRenaissance/posts/497542544164855
QCN,148415,Sat Oct 12 2019 04:43:09 GMT+0000,966,Facebook,https://www.facebook.com/QuotidianConservativeNews/posts/2692885867434668
Red Symposium,159219,Thu Oct 17 2019 02:34:16 GMT+0000,955,Facebook,https://www.facebook.com/RedSymposium/posts/550933322309187
Bill O'Reilly fan group,109110,Thu Oct 10 2019 22:28:01 GMT+0000,955,Facebook,https://www.facebook.com/groups/142529582942633/permalink/745151309347121
Team Trump,160074,Thu Oct 17 2019 18:54:14 GMT+0000,943,Facebook,https://www.facebook.com/officialteamtrump/posts/2440799326209610
Team Trump,147263,Mon Oct 07 2019 21:21:20 GMT+0000,927,Facebook,https://www.facebook.com/officialteamtrump/posts/2431964533759756
Conservative Renaissance,165084,Fri Oct 11 2019 01:13:15 GMT+0000,896,Facebook,https://www.facebook.com/TheConservativeRenaissance/posts/498183520767424
Trump & The Great America,2204960,Thu Oct 17 2019 19:24:18 GMT+0000,886,Facebook,https://www.facebook.com/presidentdonaldtrump16/posts/1289138494622421
LEXIT,140116,Wed Oct 16 2019 22:30:07 GMT+0000,885,Facebook,https://www.facebook.com/LEXITMovement/posts/450644612470700
Team Trump 2020,48036,Fri Oct 11 2019 04:38:34 GMT+0000,885,Facebook,https://www.facebook.com/groups/158123834849659/permalink/463312150997491
Team Trump,159098,Tue Oct 15 2019 23:21:47 GMT+0000,882,Facebook,https://www.facebook.com/officialteamtrump/posts/2439122869710589
Team Trump,149413,Wed Oct 09 2019 18:27:21 GMT+0000,872,Facebook,https://www.facebook.com/officialteamtrump/posts/2433544220268454
Team Trump,148349,Tue Oct 08 2019 02:19:29 GMT+0000,841,Facebook,https://www.facebook.com/officialteamtrump/posts/2432109317078611
Conservative Renaissance,166442,Thu Oct 17 2019 02:42:21 GMT+0000,809,Facebook,https://www.facebook.com/TheConservativeRenaissance/posts/502481447004298
Cowboys For Trump,64763,Fri Oct 11 2019 20:37:28 GMT+0000,808,Facebook,https://www.facebook.com/baredown/posts/1403263993173882
Trump 2020,232825,Sat Oct 12 2019 04:49:13 GMT+0000,805,Facebook,https://www.facebook.com/GodEmperorTrump2020/posts/2489544447800086
Trump 2020,232350,Fri Oct 11 2019 22:40:48 GMT+0000,792,Facebook,https://www.facebook.com/GodEmperorTrump2020/posts/2489063154514882
Team Trump,148349,Tue Oct 08 2019 14:53:21 GMT+0000,778,Facebook,https://www.facebook.com/officialteamtrump/posts/2432559587033584
QAnon Great Awakening,108555,Wed Oct 16 2019 23:49:20 GMT+0000,760,Facebook,https://www.facebook.com/VanVonQanon/posts/953201411701837
Texas for Donald Trump 2020,284732,Wed Oct 16 2019 22:50:52 GMT+0000,727,Facebook,https://www.facebook.com/Texasfordonaldtrump2020/posts/2488486784567711
Texas for Donald Trump 2020,284732,Wed Oct 16 2019 22:50:14 GMT+0000,718,Facebook,https://www.facebook.com/Texasfordonaldtrump2020/posts/2488485737901149
President United States Fan Club,25508,Thu Oct 17 2019 07:46:41 GMT+0000,674,Facebook,https://www.facebook.com/groups/122505631790240/permalink/416064029101064
Team Trump,149413,Wed Oct 09 2019 21:36:25 GMT+0000,669,Facebook,https://www.facebook.com/officialteamtrump/posts/2433645480258328
Conservative Renaissance,165290,Sat Oct 12 2019 04:49:25 GMT+0000,654,Facebook,https://www.facebook.com/TheConservativeRenaissance/posts/499016490684127
Trump - People’s Grassroots National Campaign News,7221,Fri Oct 11 2019 03:45:35 GMT+0000,643,Facebook,https://www.facebook.com/163402281058320/posts/502655897132955
Trump 2020,233225,Sun Oct 13 2019 04:49:56 GMT+0000,637,Facebook,https://www.facebook.com/GodEmperorTrump2020/posts/2491657230922141
HKG報 HKGpao,241870,Sat Oct 12 2019 09:30:00 GMT+0000,623,Facebook,https://www.facebook.com/hkgpaocom/posts/1375480262657245
Conservative Renaissance,166442,Thu Oct 17 2019 02:33:24 GMT+0000,604,Facebook,https://www.facebook.com/TheConservativeRenaissance/posts/502476263671483
Trump 2020,235085,Thu Oct 17 2019 02:32:39 GMT+0000,604,Facebook,https://www.facebook.com/GodEmperorTrump2020/posts/2500241193397078
Red Symposium,157940,Thu Oct 10 2019 01:39:09 GMT+0000,594,Facebook,https://www.facebook.com/RedSymposium/posts/545675522834967
"Trump ""The People's President""",82143,Fri Oct 11 2019 13:14:40 GMT+0000,588,Facebook,https://www.facebook.com/618144551661943/posts/1588690751273980
Trump  In God We Trust,195120,Sat Oct 12 2019 14:53:03 GMT+0000,580,Facebook,https://www.facebook.com/1665111757101345/posts/2460177444261435
Women for Trump,45762,Tue Oct 08 2019 02:28:18 GMT+0000,578,Facebook,https://www.facebook.com/WomenforTrump20/posts/776491456101573
QCN,148415,Sat Oct 12 2019 04:50:27 GMT+0000,575,Facebook,https://www.facebook.com/QuotidianConservativeNews/posts/2692894494100472
Melania Trump America's First Lady,17401,Fri Oct 11 2019 06:41:00 GMT+0000,575,Facebook,https://www.facebook.com/groups/239256783242707/permalink/723911838110530
Trump For President 2020,208200,Fri Oct 11 2019 00:36:29 GMT+0000,562,Facebook,https://www.facebook.com/groups/235812096861618/permalink/897596580683163
Trump God and Guns,7343,Sat Oct 12 2019 02:16:48 GMT+0000,539,Facebook,https://www.facebook.com/2024192924530146/posts/2418091648473603
Donald Trump 2020,28296,Wed Oct 09 2019 16:27:21 GMT+0000,527,Facebook,https://www.facebook.com/DonJTrump2020/posts/2188305111470011
Bill O'Reilly fan group,109077,Wed Oct 09 2019 23:36:44 GMT+0000,510,Facebook,https://www.facebook.com/groups/142529582942633/permalink/744458356083083
Red Symposium,159219,Thu Oct 17 2019 02:33:08 GMT+0000,505,Facebook,https://www.facebook.com/RedSymposium/posts/550932742309245
Conservative Renaissance,166442,Thu Oct 17 2019 02:34:03 GMT+0000,500,Facebook,https://www.facebook.com/TheConservativeRenaissance/posts/502476630338113
QCN,148420,Fri Oct 11 2019 16:29:00 GMT+0000,493,Facebook,https://www.facebook.com/QuotidianConservativeNews/posts/2691889087534346
Bàn Luận về Kinh Tế - Chính Trị,195773,Sun Oct 13 2019 12:40:36 GMT+0000,486,Facebook,https://www.facebook.com/groups/193292901105002/permalink/866122200488732
Latinos for Trump,10670,Fri Oct 11 2019 13:33:58 GMT+0000,478,Facebook,https://www.facebook.com/LatinosForTrump/posts/688232545022064
We the People,251400,Wed Oct 16 2019 22:59:47 GMT+0000,460,Facebook,https://www.facebook.com/tjf2006/posts/2329996430443143
North Carolina For Donald Trump,66914,Fri Oct 11 2019 07:31:52 GMT+0000,459,Facebook,https://www.facebook.com/ncfortrump/posts/2166348580324163
Team Trump 2020,48036,Fri Oct 11 2019 04:42:03 GMT+0000,449,Facebook,https://www.facebook.com/groups/158123834849659/permalink/463217081006998
Bill O'Reilly fan group,109036,Thu Oct 17 2019 04:02:55 GMT+0000,440,Facebook,https://www.facebook.com/groups/142529582942633/permalink/749909185538000
Team Trump,149413,Wed Oct 09 2019 17:41:26 GMT+0000,427,Facebook,https://www.facebook.com/officialteamtrump/posts/2433517330271143
Ohio For TRUMP,19952,Thu Oct 10 2019 21:24:34 GMT+0000,423,Facebook,https://www.facebook.com/OhioForTrump2020/posts/2405430836250657
Patriotic & Proud,195845,Fri Oct 11 2019 00:53:47 GMT+0000,422,Facebook,https://www.facebook.com/ThePatrioticAndProud/posts/2542956379099591
Defend Trump-Defend Liberty,22201,Fri Oct 11 2019 19:33:28 GMT+0000,413,Facebook,https://www.facebook.com/2341122662775381/posts/2558565711031074
Red Symposium,158136,Fri Oct 11 2019 22:40:20 GMT+0000,410,Facebook,https://www.facebook.com/RedSymposium/posts/547040492698470
STAND WITH TRUMP,49134,Thu Oct 10 2019 04:55:20 GMT+0000,409,Facebook,https://www.facebook.com/Deplorable4Trump/posts/1086514041553647
USA For Trump,15088,Sat Oct 12 2019 00:01:29 GMT+0000,408,Facebook,https://www.facebook.com/groups/178967942692323/permalink/502493807006400
South Dakota Republican Party,13498,Fri Oct 11 2019 05:34:48 GMT+0000,408,Facebook,https://www.facebook.com/SDGOP/posts/10156563429828244
Women for Trump,47062,Sun Oct 13 2019 18:15:21 GMT+0000,406,Facebook,https://www.facebook.com/WomenforTrump20/posts/780743765676342
Women for Trump,46686,Fri Oct 11 2019 02:33:19 GMT+0000,400,Facebook,https://www.facebook.com/WomenforTrump20/posts/778664935884225
Washington State for Trump,7526,Thu Oct 10 2019 21:38:12 GMT+0000,398,Facebook,https://www.facebook.com/WAforTrump/posts/2412216545660211
Conservative Action Group  Inc,8651,Thu Oct 10 2019 23:11:33 GMT+0000,392,Facebook,https://www.facebook.com/ConservativeActionGroupInc/posts/1325850927587032
President United States Fan Club,25324,Wed Oct 16 2019 17:21:40 GMT+0000,384,Facebook,https://www.facebook.com/groups/122505631790240/permalink/415891069118360
QCN,148428,Thu Oct 10 2019 22:41:25 GMT+0000,381,Facebook,https://www.facebook.com/QuotidianConservativeNews/posts/2690434034346518
Bill O'Reilly fan group,109076,Sat Oct 12 2019 04:13:13 GMT+0000,381,Facebook,https://www.facebook.com/groups/142529582942633/permalink/746071172588468
QCN,148372,Thu Oct 17 2019 02:43:10 GMT+0000,379,Facebook,https://www.facebook.com/QuotidianConservativeNews/posts/2704603269596261
Red Symposium,158136,Fri Oct 11 2019 01:12:50 GMT+0000,378,Facebook,https://www.facebook.com/RedSymposium/posts/546378936097959
Bill O'Reilly fan group,109058,Tue Oct 15 2019 22:49:42 GMT+0000,373,Facebook,https://www.facebook.com/groups/142529582942633/permalink/748971675631751
STAND WITH TRUMP,49322,Sat Oct 12 2019 04:34:00 GMT+0000,368,Facebook,https://www.facebook.com/Deplorable4Trump/posts/1088026111402440
Jack Posobiec,37418,Fri Oct 11 2019 07:31:31 GMT+0000,368,Facebook,https://www.facebook.com/JPosobiec/posts/3000233326869393
Trump TV,7369,Fri Oct 11 2019 02:54:18 GMT+0000,366,Facebook,https://www.facebook.com/trumptvofficial/posts/2115222872105785
Trump 2020,231942,Thu Oct 10 2019 08:34:50 GMT+0000,365,Facebook,https://www.facebook.com/GodEmperorTrump2020/posts/2485734998181031
Bikers for America,62577,Thu Oct 10 2019 21:19:50 GMT+0000,363,Facebook,https://www.facebook.com/Bikers4America/posts/1025860724411988
Light Up Trump's Christmas Caboose,124172,Fri Oct 11 2019 16:59:19 GMT+0000,362,Facebook,https://www.facebook.com/1000917043293023/posts/2706891929362184
President United States Fan Club,23645,Fri Oct 11 2019 08:38:27 GMT+0000,357,Facebook,https://www.facebook.com/groups/122505631790240/permalink/412298382810962
Red Symposium,157940,Thu Oct 10 2019 08:35:27 GMT+0000,350,Facebook,https://www.facebook.com/RedSymposium/posts/545874332815086
Trump - People’s Grassroots National Campaign News,7221,Fri Oct 11 2019 01:35:15 GMT+0000,350,Facebook,https://www.facebook.com/163402281058320/posts/502598553805356
Women for Trump,46058,Wed Oct 09 2019 20:05:34 GMT+0000,349,Facebook,https://www.facebook.com/WomenforTrump20/posts/777773235973395
Legal immigrants for Trump 2020 #KAG,18992,Fri Oct 11 2019 03:10:22 GMT+0000,347,Facebook,https://www.facebook.com/1603398536343459/posts/2980496588633640
